segment,status,selected_samples,complete_profiles,median_delta,median_center_presence,fraction_center_above_control_mean,selection_sha256,orientation_presence_weighted_median_tangent_angle_degrees,orientation_matched_baseline_degrees,orientation_improvement_degrees
20250108000000-w025_2025010863,analyzable,470,470,-0.027462834541321118,0.098784808872804608,0.4297872340425532,be36496becbb6ce2258c7d983e4c2c9c324c7f713d6ba4c345a60cb0ad3f365b,7.9035198646965865,25.210129640488816,17.306609775792229
20250108000001-w026_2025010854,analyzable,477,477,-0.018074658876218053,0.12343475889441941,0.46121593291404611,f94d48da1d60ce76b2204bacd70c593f295d726d650f8e152062786477ae24bf,6.8682710918258438,23.318129675371772,16.449858583545929
20250108000002-w027_2025010845,analyzable,469,469,-0.010653985901975527,0.12842113171845637,0.47761194029850745,1406324866d983bf37841da838c31ef0119c8a85c181edcbbaa1ff35f63f6e6c,6.8449507915625052,23.322214601675778,16.477263810113271
20250108000003-w028_2025010836,analyzable,472,472,-0.02452382766386961,0.12943299187078511,0.45127118644067798,fc74508a2e0896f784eb6373bc17c2c21a686d76781fde64fb566c01b07e376f,7.2826978925077244,25.257012730009571,17.974314837501847
20250108000004-w029_2025010827,analyzable,472,472,0.017044760336352251,0.21040152299729195,0.53601694915254239,561446dc14a06f2debbfb721f02a864c55d91e783638588eb63d6e2fc5119c27,7.4127324582986969,23.094391773788832,15.681659315490135
20250108000005-w030_2025010818,analyzable,474,474,0.025145411947718993,0.19132800211309051,0.55696202531645567,ed902f03e269fc99916ae7eaa73d614f8541da6c2488f989d6ccf1fb6a8e79ce,6.1169362669919849,26.869284304081049,20.752348037089064
20250223000000-w059_2025022312,analyzable,476,476,0.037602174713085003,0.21238161174505699,0.55252100840336138,1a5cd74fdd6fdf5654fd153ffcc84aff39f5660ebfad4d75bfe8eba4a7d0db73,7.0969389420530993,25.257795434473437,18.160856492420336
20250831000000-w040_2025083102,analyzable,486,486,-0.00977695664574273,0.12667998014127507,0.48971193415637859,5314faf9d7f63ed88203c064814da1a9b45185da62fea76502be7bd3efacceee,6.5613452718679657,25.529946323242214,18.96860105137425
20251226000000-w055_2025122611,analyzable,478,478,-0.0060370968906044431,0.16555570504427247,0.48117154811715479,9b88b17fbd1f4b19267fadcaa53e4dade3249d66aac7a5bba942e1d831329cc2,7.5884074450702776,25.121758222705211,17.533350777634933
20260108000000-w041_2026010816,analyzable,487,487,-0.017414658625795248,0.11053489165702451,0.45995893223819301,7053fc50151643abdb58b2a07685f6c785a16995296199abbe0748bade908fef,7.4232620207446072,20.570695291013006,13.147433270268399
20260112000000-w043_2026011217,analyzable,491,491,0.0037599150000399151,0.15075609998174888,0.50509164969450104,d09f3885626052ca5ab6c07a984e6aa0a208da9ad14bb0861c1a014061796327,5.8751665045271562,25.593565999522255,19.718399494995097
20260115000000-w044_2026011522,analyzable,496,496,0.024143975991339935,0.18418711837564877,0.55040322580645162,5917225d0c09600fccd549059eef99a06325812fcd70bbd7422c7dfc70c6eaae,6.3708380574485703,23.601758934198038,17.230920876749469
20260115000001-w056_2026011514,analyzable,478,478,-0.0092099467670003557,0.15685569876063085,0.48535564853556484,1b4cdee129eab72f9640a7ce6515e21a81c5f5f85839305a064c46366d5bfd78,6.6979729917703601,24.312718317978732,17.614745326208372
20260126000000-w045_2026012619,analyzable,494,494,0.055409085562445851,0.22560166833264864,0.56882591093117407,a26c8cc178fc0ff2d82336ac52fcadac35ff9a9a68f44e3a796b8cab4632f266,6.3265387227021375,25.925884409169967,19.599345686467828
20260127000000-w057_2026012713,analyzable,484,484,0.036585937626844728,0.21265646598218224,0.54545454545454541,d212c3b16aafdbf95c1e2bd44312c27bd6388c70555c6b7a669bc6efb8fc9694,6.3718309128197541,22.952096889693408,16.580265976873655
